team_name,team_id,gameday,points,league_member_name,display_name
Ravs XI,136580310,28,0.0,Ravtaj,Ravtaj
BlAcKKaTs,117061010,28,0.0,Yash,Yash
LazyBoys,623050307,28,0.0,Rajesh,Rajesh
RKDEleven,318100410,28,0.0,Rohit,Rohit
Kinkartvyavimudh,255290408,29,424.5,Abhishek,Abhishek
Scarlet Challengers,243890103,29,355.5,Kunj,Kunj
Team Joshi,240920202,29,325.0,Saurabh,Saurabh
SanjuPaglu,230850202,29,317.0,Bijil,Bijil
Bens XI,143920506,29,283.0,Ben,Ben
NSKNEMESIS,108160402,29,241.5,,NSKNEMESIS
aksesa11,242840109,29,217.0,Akshay,Akshay
Ravs XI,136580310,29,170.0,Ravtaj,Ravtaj
Ashray Team,152250802,29,158.0,Ashray,Ashray
T20 Warriors XI,248520808,29,56.0,Atharva,Atharva
Sunny super kings,243670206,29,0.0,Harpreet,Harpreet
BlAcKKaTs,117061010,29,0.0,Yash,Yash
LazyBoys,623050307,29,0.0,Rajesh,Rajesh
RKDEleven,318100410,29,0.0,Rohit,Rohit
Sidhsdevilseye,243650709,29,0.0,Sidhu,Sidhu
LazyBoys,623050307,30,431.5,Rajesh,Rajesh
NSKNEMESIS,108160402,30,240.5,,NSKNEMESIS
Ashray Team,152250802,30,166.0,Ashray,Ashray
Sidhsdevilseye,243650709,30,149.0,Sidhu,Sidhu
T20 Warriors XI,248520808,30,135.0,Atharva,Atharva
aksesa11,242840109,30,111.5,Akshay,Akshay
Kinkartvyavimudh,255290408,30,0.0,Abhishek,Abhishek
Scarlet Challengers,243890103,30,0.0,Kunj,Kunj
SanjuPaglu,230850202,30,0.0,Bijil,Bijil
Team Joshi,240920202,30,0.0,Saurabh,Saurabh
Sunny super kings,243670206,30,0.0,Harpreet,Harpreet
Bens XI,143920506,30,0.0,Ben,Ben
Ravs XI,136580310,30,0.0,Ravtaj,Ravtaj
BlAcKKaTs,117061010,30,0.0,Yash,Yash
RKDEleven,318100410,30,0.0,Rohit,Rohit
aksesa11,242840109,31,735.5,Akshay,Akshay
BlAcKKaTs,117061010,31,604.0,Yash,Yash
Team Joshi,240920202,31,548.0,Saurabh,Saurabh
T20 Warriors XI,248520808,31,529.0,Atharva,Atharva
NSKNEMESIS,108160402,31,369.0,,NSKNEMESIS
SanjuPaglu,230850202,31,346.0,Bijil,Bijil
Ravs XI,136580310,31,285.0,Ravtaj,Ravtaj
RKDEleven,318100410,31,217.5,Rohit,Rohit
Ashray Team,152250802,31,208.0,Ashray,Ashray
Sunny super kings,243670206,31,194.0,Harpreet,Harpreet
Scarlet Challengers,243890103,31,156.0,Kunj,Kunj
Bens XI,143920506,31,140.0,Ben,Ben
Sidhsdevilseye,243650709,31,55.0,Sidhu,Sidhu
Kinkartvyavimudh,255290408,31,0.0,Abhishek,Abhishek
LazyBoys,623050307,31,0.0,Rajesh,Rajesh
